NAME	AT	BT	ST	WT	CT	
P1:	0	10	0	0	10
P2:	2	2	10	8	10
P3:	3	6	12	9	15
P4:	7	15	18	11	26
P5:	8	9	33	25	34
P6:	11	2	42	31	33
P7:	12	3	44	32	35
P13:	13	5	47	34	39
P8:	14	6	52	38	44
P9:	19	9	58	39	48
P10:	20	1	67	47	48
P11:	21	8	68	47	55
P12:	29	1	76	47	48
P15:	45	10	77	32	42
P14:	50	11	87	37	48
P16:	52	9	98	46	55
P17:	59	2	107	48	50
P18:	73	7	109	36	43
P19:	85	8	116	31	39
P20:	98	5	124	26	31
P22:	109	7	129	20	27
P21:	114	8	136	22	30
P23:	126	4	144	18	22
P24:	130	10	148	18	28
P25:	145	5	158	13	18
P26:	152	4	163	11	15
P27:	167	2	167	0	2
P28:	168	6	169	1	7
AVG:	-	-	-	25	32	

-------------^FCFS^------------------------vSJFv-------------

NAME	AT	BT	ST	WT	CT	
P1:	0	10	0	0	10
P2:	2	2	10	8	10
P6:	11	2	12	1	3
P7:	12	3	14	2	5
P13:	13	5	17	4	9
P10:	20	1	22	2	3
P8:	14	6	23	9	15
P3:	3	6	29	26	32
P12:	29	1	35	6	7
P11:	21	8	36	15	23
P5:	8	9	44	36	45
P9:	19	9	53	34	43
P17:	59	2	62	3	5
P16:	52	9	64	12	21
P15:	45	10	73	28	38
P18:	73	7	83	10	17
P19:	85	8	90	5	13
P14:	50	11	98	48	59
P20:	98	5	109	11	16
P22:	109	7	114	5	12
P21:	114	8	121	7	15
P23:	126	4	129	3	7
P24:	130	10	133	3	13
P4:	7	15	143	136	151
P26:	152	4	158	6	10
P25:	145	5	162	17	22
P27:	167	2	167	0	2
P28:	168	6	169	1	7
AVG:	-	-	-	15	21	

